Task ID,Feature Name,Status,Assignee,Priority,Module,Due Date
T01,Patient List,เสร็จแล้ว,Dev Team,Low,Patients List,2025-06-17
T02,New Patient Form,เสร็จแล้ว,Dev Team,Low,New Patient Module,2025-06-17
T03,Edit Patient Form,เสร็จแล้ว,Dev Team,Low,Edit Patient Module,2025-06-17
T04,Review Submissions,เสร็จแล้ว,Dev Team,Low,Review Module,2025-06-17
T05,Error handling tests for upload,ยังไม่สมบูรณ์,Dev Team,High,Upload Module,2025-06-20
T06,Preview component/UX flow on Upload Page,ยังไม่สมบูรณ์,Dev Team,High,Upload Module,2025-06-20
T07,Accessibility tests for FileInputGroup,ยังไม่สมบูรณ์,Dev Team,Medium,Upload Module,2025-06-20
T08,Integration test (schema→preview→API→UI),ยังไม่สมบูรณ์,Dev Team,High,Upload Module,2025-06-22
T09,Role-based access control UI,ยังไม่เริ่ม,Dev Team,High,Access Control,2025-07-01
T10,Driver dashboard,ยังไม่เริ่ม,Dev Team,Medium,Dashboard,2025-07-08
T11,Executive dashboard,ยังไม่เริ่ม,Dev Team,Medium,Dashboard,2025-07-08
T12,Health-officer dashboard,ยังไม่เริ่ม,Dev Team,Medium,Dashboard,2025-07-08
T13,E2E tests for main flows,ยังไม่เริ่ม,QA Team,High,Testing,2025-07-15
T14,Refactor usePreviewFiles hook,ต้องปรับปรุง,Dev Team,Medium,Upload Module,2025-06-23
T15,Add loading state & disable submit buttons,ต้องปรับปรุง,Dev Team,Medium,Forms,2025-06-23
T16,Add form reset/default values,ต้องปรับปรุง,Dev Team,Medium,Forms,2025-06-23
T17,Client-side file duplicate & size validation,ต้องปรับปรุง,Dev Team,Medium,Upload Module,2025-06-23
T18,Debounce/throttle filter functions,ต้องปรับปรุง,Dev Team,Medium,Patients List,2025-06-23
T19,Finalize Community Dashboard,ยังไม่เริ่ม,คุณวศิน P,Medium,Community Dashboard,2025-07-15
T20,Finalize Admin Dashboard,ยังไม่เริ่ม,คุณวศิน P,Medium,Admin Dashboard,2025-07-15
T21,Role-based Access Control Tests (Community & Admin),ยังไม่เริ่ม,QA Team,High,Access Control Test Suite,2025-07-10
